frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
156.2750,Тамбовская обл.,10 мая 2022,цифровая,DMR,Сухопутная подвижная,Сбербанк,"экипажи разные, трехзначные"
146.3875,Тамбов,10 мая 2022,NFM,цифровой,Фиксированная (телеметрия),Какое-то охранное предприятие (см.описание),Не установлены
38.4750,Тамбов,10 мая 2022,NFM,Голос,Сухопутная подвижная,большинство лесхозов Тверской области,"В зависимости от лесхоза,у Тамбовского ""Пихта"""
36.2750,Тамбов,10 мая 2022,NFM,"Голос + CTCSS 67,0",Сухопутная подвижная,"АО ""Газпром газораспределение Тамбов""",Зенит и другие
148.8750,Барнаул,10 мая 2022,NFM,Голос,Сухопутная подвижная,"МЧС РОССИИ, СЛУЖБА СПАСЕНИЯ","Горный, Белова, Катунь, Заренчый и по номерам"
433.4500,Красноярск,6 мая 2022,NFM,Голос,Любительская,Радиолюбительская аварийная служба Сибири,RE0RAS
145.4500,Красноярск,6 мая 2022,NFM,Голос,Любительская,Радиолюбительская аварийная служба Сибири,RE0RAS
145.5250,Барнаул,9 мая 2022,NFM,Голос,Любительская,Радиолюбители,Любительские
433.4750,Заринск,8 мая 2022,NFM,Голос,иное (см. комментарий),Парапланеристы,По именам
108.8000,Самара,9 мая 2022,AM,Morse,Радионавигационная,Аэропорт Курумоч,MOF
434.8625,Казань,7 мая 2022,NFM,Голос + DCS,иное (см. комментарий),Пиратский репитер,Словесные
435.6250,Казань,7 мая 2022,NFM,Голос,иное (см. комментарий),Неясно,Не установлены
458.6125,Заринск,25 апреля 2022,NFM,Голос + CTCSS,Сухопутная подвижная,ТЦ Палата,По именам и именам отчествам
434.4250,Заринск,29 апреля 2022,NFM,Голос,Сухопутная подвижная,Интернетчики,Без позывных
433.1500,Заринск,29 апреля 2022,NFM,Голос + CTCSS,Сухопутная подвижная,"ООО ""Новотекс""",По именам или именам отчествам
14.3010,Саратов,30 апреля 2022,USB,"PRC-16 - PSK, OFDM",иное (см. комментарий),Министерство национальной обороны КНР,Не установлены
439.9000,Московская обл.,30 апреля 2022,цифровая,DMR,Сухопутная подвижная,УГПС МЧС России по МО,Восток
14.2020,Саратов,30 апреля 2022,USB,ARQ,иное (см. комментарий),КНДР,Не установлены
469.9500,Барнаул,29 апреля 2022,NFM,Голос + CTCSS 203.5 Hz,Сухопутная подвижная,Магазин/сауна,Имена
